2026-08-16 18:56:03 | INFO     | SIGS | Banco de dados inicializado em: C:\Users\rs_ma\Documents\GitDesk\SIGS\database\senhas.db
2026-08-16 18:56:15 | INFO     | SIGS | Logout realizado: 'teste01'.
2026-08-16 18:56:25 | INFO     | SIGS | Login realizado: 'rogeriomatos' (perfil admin, guichê None).
2026-08-16 18:57:00 | INFO     | SIGS | Empresa 'COMIGO' cadastrada (id=1).
2026-08-16 18:57:12 | INFO     | SIGS | Logo da empresa id=1 atualizado (cor extraída automaticamente: #ABC4A5).
2026-08-16 18:58:19 | INFO     | SIGS | Usuário 'mariamatos' cadastrado com perfil 'atendente'.
2026-08-16 18:58:46 | INFO     | SIGS | Usuário 'comigo' cadastrado com perfil 'recrutador'.
2026-08-16 18:58:58 | INFO     | SIGS | Logout realizado: 'teste02'.
2026-08-16 18:59:07 | INFO     | SIGS | Sala 1 (empresa id=1) atribuída automaticamente a 'Recrutador COMIGO'.
2026-08-16 18:59:07 | INFO     | SIGS | Login realizado: 'comigo' (perfil recrutador, guichê 1).
2026-08-16 18:59:52 | INFO     | SIGS | Guichê 1 atribuído automaticamente a 'Maria Matos'.
2026-08-16 18:59:52 | INFO     | SIGS | Login realizado: 'mariamatos' (perfil atendente, guichê 1).
2026-08-16 19:00:15 | WARNING  | SIGS | Perfil do usuário id=10 alterado para 'emissor'.
2026-08-16 19:00:16 | INFO     | SIGS | Logout realizado: 'mariamatos'.
2026-08-16 19:00:43 | INFO     | SIGS | Login realizado: 'mariamatos' (perfil emissor, guichê None).
2026-08-16 19:00:53 | INFO     | SIGS | Senha emitida: número 001 (id=1, empresa='COMIGO')
2026-08-16 19:00:58 | INFO     | SIGS | Ticket impresso com sucesso: senha 001 na impressora 'Microsoft Print to PDF'.
2026-08-16 19:02:47 | INFO     | SIGS | Senha 001 chamada no guichê 'Sala 01 — COMIGO' por 'Recrutador COMIGO'.
2026-08-16 19:03:17 | INFO     | SIGS | Usuário 'comigo2' cadastrado com perfil 'atendente'.
2026-08-16 19:03:43 | INFO     | SIGS | Guichê 1 atribuído automaticamente a 'Recrutador COMIGO 2'.
2026-08-16 19:03:43 | INFO     | SIGS | Login realizado: 'comigo2' (perfil atendente, guichê 1).
2026-08-16 19:03:54 | INFO     | SIGS | Senha emitida: número 002 (id=2, empresa='COMIGO')
2026-08-16 19:03:59 | INFO     | SIGS | Ticket impresso com sucesso: senha 002 na impressora 'Microsoft Print to PDF'.
2026-08-16 19:04:04 | INFO     | SIGS | Senha 002 chamada no guichê 'Guichê 01' por 'Recrutador COMIGO 2'.
2026-08-16 19:04:53 | WARNING  | SIGS | Perfil do usuário id=12 alterado para 'recrutador'.
2026-08-16 19:04:53 | INFO     | SIGS | Logout realizado: 'comigo2'.
2026-08-16 19:05:09 | WARNING  | SIGS | Usuário 'comigo2' tem perfil recrutador, mas não está vinculado a nenhuma empresa. Peça a um administrador para vincular uma empresa em Gerenciar Usuários.
2026-08-16 19:05:09 | INFO     | SIGS | Login realizado: 'comigo2' (perfil recrutador, guichê None).
2026-08-16 19:05:18 | WARNING  | SIGS | Empresa do usuário id=12 definida para empresa_id=1.
2026-08-16 19:05:19 | INFO     | SIGS | Logout realizado: 'comigo2'.
2026-08-16 19:05:29 | INFO     | SIGS | Sala 2 (empresa id=1) atribuída automaticamente a 'Recrutador COMIGO 2'.
